artist,song
Journey,Don't Stop Believin'
James Blunt,You're Beautiful
The Black Eyed Peas,Where Is the Love
Alphaville,Forever Young
Jason Mraz,I'm Yours
Train,"Hey, Soul Sister"
The Calling,Wherever You Will Go
Elton John,Can You Feel the Love Tonight
Akon,Don't Matter
John Denver,"Take Me Home, Country Roads"
Lady Gaga,Paparazzi
U2,With Or Without You
The Last Goodnight,Pictures of You
Maroon 5,She Will Be Loved
The Beatles,Let It Be
Bob Marley,"No Woman, No Cry"
Marcy Playground,Sex and Candy
Men At Work,Down Under
Jill Colucci,The Funny Things You Do
Jack Johnson,Taylor
Spice Girls,2 Become 1
a-ha,Take On Me
Green Day,When I Come Around
Eagle Eye Cherry,Save Tonight
Toto,Africa
Beyoncé,If I Were A Boy
Kelly Clarkson,Behind These Hazel Eyes
Jason Derulo,In My Head
The Smashing Pumpkins,Bullet With Butterfly Wings
Joan Osborne,One of Us
Avril Lavigne,Complicated
The Offspring,Self Esteem
The Offspring,"You're Gonna Go Far, Kid"
Akon,Beautiful
OneRepublic,Apologize
Eminem featuring Rihanna,Love the Way You Lie
Bon Jovi,It's My Life
Lady Gaga,Poker Face
Aqua,Barbie Girl
Red Hot Chili Peppers,Otherside
The Gregory Brothers,Double Rainbow Song
MGMT,Kids
Andrea Bocelli,Time to Say Goodbye
Robert Burns,Auld Lang Syne
Five for Fighting,Superman
The Axis of Awesome,Birdplane
Missy Higgins,Scar
Alex Lloyd,Amazing
Richard Marx,Right Here Waiting
Adele,Someone Like You
Christina Perri,Jar of Hearts
Crowded House,Fall At Your Feet
Red Hot Chili Peppers,Under the Bridge
Daryl Braithwaite,The Horses
Pink,U + Ur Hand
The Fray,You Found Me
3OH!3,Don't Trust Me
Tim Minchin,Canvas Bags
Blink-182,Dammit
Kasey Chambers,Not Pretty Enough
Alicia Keys,No One
Amiel,Lovesong
Bush,Glycerine
Thirsty Merc,20 Good Reasons
Lighthouse Family,High
Red Hot Chili Peppers,Soul to Squeeze
Banjo Paterson,Waltzing Matilda
Bic Runga,Sway
Ben Lee,Cigarettes Will Kill You
Michael Jackson,Man in the Mirror
Mika,Happy Ending
The Cranberries,Zombie
Natalie Imbruglia,Torn
Miley Cyrus,Wrecking Ball
Imagine Dragons,Demons
Idina Menzel,Let It Go
Rihanna feat. Calvin Harris,We Found Love
Avicii,Wake Me Up
Flo Rida,Whistle
The Script feat. will.i.am,Hall of Fame
"Carson, Christopher, and James",Always on My Mind
Die Ärzte,Manchmal haben Frauen
Iyaz,Replay
