artist,song
The Darkness,I Believe In A Thing Called Love
AC/DC,Rock N Roll Train
Alter Bridge,Blackbird
Foo Fighters,Best Of You
The White Stripes,Seven Nation Army
Rush,Caravan
Velvet Revolver,Slither
Audioslave,Cochise
Iron Maiden,Blood Brothers
Queens Of The Stone Age,No One Knows
ZZ Top,I Gotsa Get Paid
Clutch,Electric Worry
The Wildhearts,Diagnosis
Slash featuring Andrew Stockdale,By The Sword
Green Day,American Idiot
Motorhead,Life's A Bitch
The Struts,Kiss This
Rival Sons,Keep On Swinging
Red Hot Chili Peppers,By The Way
Muse,Supermassive Black Hole
Halestorm,Love Bites (So Do I)
Nickelback,How You Remind Me
Greta Van Fleet,Highway Tune
Joe Bonamassa,The Ballad Of John Henry
Wolfmother,Joker And The Thief
Black Sabbath,God Is Dead?
Alice In Chains,Check My Brain
Guns N' Roses,Better
U2,Vertigo
Andrew W.K.,Party Hard
Judas Priest,Judas Rising
Linkin Park,Crawling
David Bowie,Lazurus
Chris Cornell,You Know My Name
Black Stone Cherry,Soulcreek
Airbourne,Runnin' Wild
Michael Monroe,Ballad Of The Lower East Side
Rammstein,Sonne
Ghost,Dance Macabre
Metallica,"Atlas, Rise"
Faith No More,Motherfucker
Tool,Lateralus
Pearl Jam,World Wide Suicide
Jet,Are You Gonna Be My Girl
Shinedown,Sound Of Madness
Royal Blood,Figure It Out
Def Leppard,Dangerous
Nightwish,Wish I Had An Angel
The Gaslight Anthem,The '59 Sound
H.e.a.t.,Dangerous Ground
Europe,War Of Kings
Black Star Riders,Finest Hour
Thunder,Wonder Days
Steve Perry,No Erasin'
Saxon,Lionheart
The Black Keys,Lonely Boy
Nine Inch Nails,The Hand That Feeds
Soundgarden,Been Away Too Long
Sum 41,Fat Lip
Black Country Communion,One Last Soul
The Virginmarys,Bang Bang Bang
Bruce Springsteen,The Rising
The Cadillac Three,Tennessee Mojo
Buckcherry,Crazy Bitch
Marillion,Living In Fear
Uriah Heep,Overload
Blackberry Smoke,Ain't Much Left Of Me
Deep Purple,Vincent Price
Bon Jovi,It's My Life
Fountains Of Wayne,Stacy's Mum
Feeder,Buck Rogers
Whitesnake,Steal Your Heart Away
Dream Theater,The Dark Eternal Night
Tom Petty & The Heartbreakers,The Last DJ
Porcupine Tree,Fear Of A Blank Planet
Prince,Guitar
The Hives,Hate To Say I Told You So
The Rolling Stones,Doom And Gloom
The Answer,Nowhere Freeway
Manic St Preachers,(It's Not War) Just The End Of Love
Massive Wagons,Tokyo
Robert Plant & Alison Krauss,Please Read The Letter
Jane’s Addiction,Just Because
The Strokes,New York City Cops
Chickenfoot,Soap On A Rope
The Temperance Movement,Only Friend
Stereophonics,Dakota
Jeff Lynne's ELO,When I Was A Boy
Alice Cooper,What Do You Want From Me?
Anathema,Untouchable (Pt I & II)
Ian Hunter,When The World Was Round
Ginger Wildheart,Time
Mastodon,Curl Of The Burl
Steven Wilson,The Raven That Refused To Sing
Von Hertzen Brothers,New Day Rising
R.E.M.,Bad Day
Sheryl Crow,Soak Up The Sun
The Killers,Mr Brightside
Magnum,Live 'Til You Die
The Urban Voodoo Machine,Goodbye To Another Year
