artist,song
David Bowie,"""Heroes"""
Iggy Pop,The Passenger
Lou Reed,Street Hassle
Kraftwerk,Trans-Europe Express
Brian Eno,1/1
Ramones,Rockaway Beach
Talking Heads,Psycho Killer
Television,Marquee Moon
Patti Smith,Rock N Roll Nigger
Sex Pistols,God Save the Queen
The Clash,(White Man) In Hammersmith Palais
Buzzcocks,Ever Fallen in Love (With Someone You Shouldn't've)
Vic Godard and the Subway Sect,Parallel Lines
X-Ray Spex,Oh Bondage Up Yours!
The Adverts,One Chord Wonders
Wire,Ex-Lion Tamer
Donna Summer,I Feel Love
Giorgio Moroder,Chase
Chic,Good Times
Thelma Houston,Don't Leave Me This Way
Gloria Gaynor,I Will Survive
Michael Jackson,Don't Stop 'Til You Get Enough
Parliament,Flash Light
Marvin Gaye,Got to Give It Up
Public Image Ltd,Public Image
Gang of Four,Damaged Goods
Magazine,Shot by Both Sides
The Cramps,Human Fly
Misfits,Night of the Living Dead
Wire,Outdoor Miner
Joy Division,Disorder
Althea & Donna,Uptown Top Ranking
Lee Perry,Roast Fish & Cornbread
The Congos,Fisherman
Willi Williams,Armagideon Time
This Heat,24 Track Loop
The Slits,Typical Girls
The Pop Group,She Is Beyond Good and Evil
The Clash,The Guns of Brixton
James Chance and the Contortions,Contort Yourself
Suicide,Dream Baby Dream
Cabaret Voltaire,Nag Nag Nag
Throbbing Gristle,Hot on the Heels of Love
Devo,Mongoloid
Candido,Jingo
Dinosaur,Kiss Me Again
Machine,There but for the Grace of God Go I
Kate Bush,Wuthering Heights
Goblin,Suspiria
Blue Öyster Cult,(Don't Fear) The Reaper
AC/DC,Highway to Hell
Van Halen,Runnin' with the Devil
Fleetwood Mac,The Chain
Steely Dan,Deacon Blues
Electric Light Orchestra,Mr. Blue Sky
The Only Ones,"Another Girl, Another Planet"
The Undertones,Teenage Kicks
Plastic Bertrand,Ça plane pour moi
The Records,Starry Eyes
Cheap Trick,Surrender
The Cars,Just What I Needed
Elvis Costello and the Attractions,Radio Radio
The Cure,Boys Don't Cry
XTC,Making Plans for Nigel
Blondie,Atomic
Talking Heads,Memories Can't Wait
Kurtis Blow,The Breaks
Spoonie Gee Meets The Sequence,Monster Jam
The Sugarhill Gang,8th Wonder
The Treacherous Three,The New Rap Language
The Clash,The Magnificent Seven
Talking Heads,Born Under Punches (The Heat Goes On)
Yoko Ono,Walking on Thin Ice
Klein + M.B.O.,Dirty Talk
ESG,Moody
Grandmaster Flash and the Furious Five,The Adventures of Grandmaster Flash on the Wheels of Steel
Funky 4 + 1,That's the Joint
Kraftwerk,Numbers/Computer World 2
Afrika Bambaataa and Soulsonic Force,Planet Rock
Grandmaster Flash and the Furious Five,The Message
Glenn Branca,Lesson No. 1 for Electric Guitar
Laurie Anderson,O Superman (For Massenet)
Joy Division,Atmosphere
The Fall,Totally Wired
Elvis Costello and the Attractions,Beyond Belief
The Pretenders,Back on the Chain Gang
The B-52's,Private Idaho
Dexys Midnight Runners,"There, There, My Dear"
Young Marble Giants,Final Day
Altered Images,Happy Birthday
The Specials,Ghost Town
Robert Wyatt,Shipbuilding
Bauhaus,Third Uncle
Adam and the Ants,Kings of the Wild Frontier
Scritti Politti,"The ""Sweetest Girl"""
The Human League,Don't You Want Me
Soft Cell,Tainted Love
The Associates,Party Fears Two
ABC,All of My Heart
New Order,Temptation
The Jam,Town Called Malice
Duran Duran,The Chauffeur
The Beat,Save It for Later
The Go-Go's,Our Lips Are Sealed
Tom Tom Club,Genius of Love
Prince,Dirty Mind
Daryl Hall & John Oates,I Can't Go for That (No Can Do)
Michael Jackson,Billie Jean
ABBA,The Day Before You Came
Roxy Music,More Than This
Queen and David Bowie,Under Pressure
Bruce Springsteen,Atlantic City
Journey,Don't Stop Believin'
Bad Brains,Pay to Cum
Minor Threat,Minor Threat
Dead Kennedys,Holiday in Cambodia
Black Flag,Rise Above
Wipers,Youth of America
Flipper,Sex Bomb
Motörhead,Ace of Spades
Iron Maiden,Run to the Hills
Orange Juice,Blue Boy
Television Personalities,This Angry Silence
The Fall,The Classical
The Clean,Tally Ho!
The Feelies,The Boy with the Perpetual Nervousness
R.E.M.,Radio Free Europe
Violent Femmes,Blister in the Sun
Mission of Burma,That's When I Reach for My Revolver
The Smiths,This Charming Man
Sonic Youth,Death Valley '69
Hüsker Dü,Pink Turns to Blue
Meat Puppets,Plateau
The Replacements,I Will Dare
Minutemen,History Lesson - Part II
R.E.M.,So. Central Rain (I'm Sorry)
Echo & the Bunnymen,The Killing Moon
The Cure,Close to Me
Siouxsie and the Banshees,Cities in Dust
Run-DMC,It's Like That
Crash Crew,On the Radio
Rammellzee vs. K-Rob,Beat Bop
Boogie Down Productions,South Bronx
New Order,Blue Monday
Prince and The Revolution,When Doves Cry
Talking Heads,This Must Be the Place (Naive Melody)
Kate Bush,Running Up That Hill (A Deal with God)
U2,New Year's Day
Simple Minds,Don't You (Forget About Me)
The Replacements,Bastards of Young
The Mekons,Last Dance
Big Black,Kerosene
Scratch Acid,The Greatest Gift
The Jesus and Mary Chain,Just Like Honey
The Smiths,How Soon Is Now?
Cocteau Twins,Lorelei
New Order,Bizarre Love Triangle
Billy Bragg,A New England
Metallica,Battery
Slayer,Angel of Death
Saint Vitus,Clear Windowpane
Einstürzende Neubauten,Halber Mensch
Art of Noise,Beat Box (Diversion One)
Frankie Goes to Hollywood,Relax
Liquid Liquid,Optimo
Alexander Robotnick,Problèmes d'Amour
Shannon,Let the Music Play
Section 25,Looking from a Hilltop (Restructure)
Madonna,Holiday
Cyndi Lauper,Girls Just Want to Have Fun
Prince and The Revolution,Kiss
Run-DMC,Rock Box
LL Cool J,I Can't Live Without My Radio
Beastie Boys,No Sleep till Brooklyn
Mantronix,Needle to the Groove
The Go-Betweens,Cattle and Cane
The Chills,Pink Frost
Felt,Primitive Painters
The Smiths,There Is a Light That Never Goes Out
Tom Waits,Jockey Full of Bourbon
Bruce Springsteen,I'm on Fire
Scott Walker,Rawhide
U2,Bad
Don Henley,The Boys of Summer
Paul Simon,Graceland
Wayne Smith,Under Me Sleng Teng
Anthony Red Rose,Tempo
Model 500,No UFO's
Mr. Fingers,Can You Feel It
Rhythim Is Rhythim,Strings of Life
A Guy Called Gerald,Voodoo Ray
MARRS,Pump Up the Volume
My Bloody Valentine,You Made Me Realise
Spacemen 3,Walkin' with Jesus
Ride,Dreams Burn Down
Galaxie 500,Blue Thunder
Happy Mondays,Kinky Afro
The Stone Roses,She Bangs the Drums
Sonic Youth,Teen Age Riot
Dinosaur Jr.,Freak Scene
Butthole Surfers,Human Cannonball
Pixies,Where Is My Mind?
Fugazi,Waiting Room
Audio Two,Top Billin'
Eric B. & Rakim,I Know You Got Soul
Public Enemy,Rebel Without a Pause
N.W.A,Straight Outta Compton
Nick Cave and the Bad Seeds,The Mercy Seat
Ministry,Stigmata
The Jesus and Mary Chain,Head On
The Sugarcubes,Birthday
The Cure,Just Like Heaven
Morrissey,Everyday Is Like Sunday
The Pogues,Fairytale of New York
The Wedding Present,My Favourite Dress
The Field Mice,Emma's House
Another Sunny Day,You Should All Be Murdered
The Dead Milkmen,Punk Rock Girl
The Primitives,Crash
The La's,There She Goes
They Might Be Giants,Birdhouse in Your Soul
Superchunk,Slack Motherfucker
Fugazi,Merchandise
The Jesus Lizard,Mouth Breather
Slick Rick,Children's Story
Gang Starr,Just to Get a Rep
Rob Base and DJ E-Z Rock,It Takes Two
Salt-N-Pepa,Push It
Beastie Boys,Hey Ladies
De La Soul,Me Myself and I
Biz Markie,Just a Friend
Public Enemy,Fight the Power
Guns N' Roses,Welcome to the Jungle
Swans,Beautiful Child
John Zorn,The Sicilian Clan
Prince,If I Was Your Girlfriend
Madonna,Like a Prayer
Deee-Lite,Groove Is in the Heart
Pet Shop Boys,Being Boring
Sinéad O'Connor,Nothing Compares 2 U
The Orb,Little Fluffy Clouds
The KLF,Wichita Lineman Was a Song I Once Heard
808 State,Pacific State
Orbital,Chime
Depeche Mode,Enjoy the Silence
My Bloody Valentine,Soon
The Vaselines,Son of a Gun
Beat Happening,Indian Summer
Daniel Johnston,Some Things Last a Long Time
Mudhoney,Touch Me I'm Sick
Pixies,Wave of Mutilation
Nirvana,Smells Like Teen Spirit
Pavement,Summer Babe
Archers of Loaf,Web in Front
Yo La Tengo,From a Motel 6
Sebadoh,The Freed Pig
A Tribe Called Quest,Check the Rhime
De La Soul,"A Roller Skating Jam Named ""Saturdays"""
Black Sheep,The Choice Is Yours
Massive Attack,Unfinished Sympathy
Tricky,Aftermath (Version 1)
Primal Scream,Higher Than the Sun
Spiritualized,Step into the Breeze
Slowdive,Alison
Aphex Twin,Xtal
Talk Talk,Ascension Day
Slint,"Good Morning, Captain"
Disco Inferno,The Last Dance
Stereolab,French Disko
Acen,"Trip II the Moon (Part 1)"" / ""Trip II the Moon (Part 2)"
The Future Sound of London,Papua New Guinea
Human Resource,Dominator (Joey Beltram Mix)
Metalheadz,Terminator
Omni Trio,Renegade Snares
Red House Painters,New Jersey
Teenage Fanclub,The Concept
Heavenly,C Is the Heavenly Option
Tindersticks,City Sickness
Unrest,Make Out Club
Tenor Saw and Buju Banton,Ring the Alarm Quick
Dr. Dre,Nuthin' but a 'G' Thang
Ice Cube,It Was a Good Day
2Pac,I Get Around
Souls of Mischief,93 'til Infinity
Suede,The Drowners
Blur,For Tomorrow
Elastica,Stutter
Ween,Dr. Rock
Wu-Tang Clan,Protect Ya Neck
Geto Boys,Mind Playing Tricks on Me
Pete Rock & CL Smooth,They Reminisce Over You (T.R.O.Y.)
Bikini Kill,Rebel Girl
Melvins,Hooch
Dinosaur Jr.,Start Choppin
Pixies,U-Mass
Liz Phair,Divorce Song
PJ Harvey,Rid of Me
The Afghan Whigs,Debonair
